name,fetched,fetched_iec,size,size_iec,nrows,indexed,max,min,num
1e5.duckdb,344064,344.1 kB,5517312,5.5 MB,100000,False,262144,16384,3
1e5-idx.duckdb,688128,688.1 kB,7090176,7.1 MB,100000,True,262144,16384,6
2e5.duckdb,290816,290.8 kB,10498048,10.5 MB,200000,False,192512,16384,4
2e5-idx.duckdb,704512,704.5 kB,12595200,12.6 MB,200000,True,262144,16384,7
5e5.duckdb,290816,290.8 kB,25964544,26.0 MB,500000,False,192512,16384,4
5e5-idx.duckdb,704512,704.5 kB,30158848,30.2 MB,500000,True,262144,16384,7
1e6.duckdb,290816,290.8 kB,51130368,51.1 MB,1000000,False,192512,16384,4
1e6-idx.duckdb,704512,704.5 kB,59518976,59.5 MB,1000000,True,262144,16384,7
2e6.duckdb,634880,634.9 kB,106704896,106.7 MB,2000000,False,262144,16384,7
2e6-idx.duckdb,704512,704.5 kB,124006400,124.0 MB,2000000,True,262144,16384,7
4e6.duckdb,634880,634.9 kB,219688960,219.7 MB,4000000,False,262144,16384,7
4e6-idx.duckdb,1753088,1.8 MB,252456960,252.5 MB,4000000,True,1048576,16384,8
6e6.duckdb,1089536,1.1 MB,332935168,332.9 MB,6000000,False,454656,16384,8
6e6-idx.duckdb,1753088,1.8 MB,384577536,384.6 MB,6000000,True,1048576,16384,8
