,name,start,end,size
30,5e5.duckdb,0,16384,16384
32,5e5.duckdb,25690112,25706496,16384
34,2e5.duckdb,0,16384,16384
35,5e5.duckdb,25706496,25772032,65536
45,5e5.duckdb,25772032,25964544,192512
47,2e5.duckdb,10223616,10240000,16384
56,1e5.duckdb,0,16384,16384
58,6e6-idx.duckdb,0,16384,16384
63,4e6-idx.duckdb,0,16384,16384
64,2e5-idx.duckdb,0,16384,16384
65,6e6.duckdb,0,16384,16384
66,2e6.duckdb,0,16384,16384
67,2e5.duckdb,10240000,10305536,65536
68,5e5-idx.duckdb,0,16384,16384
69,1e6.duckdb,0,16384,16384
70,1e5-idx.duckdb,0,16384,16384
71,4e6.duckdb,0,16384,16384
73,1e6-idx.duckdb,0,16384,16384
74,1e5.duckdb,16384,81920,65536
75,2e6-idx.duckdb,0,16384,16384
76,2e5.duckdb,10305536,10498048,192512
77,1e5.duckdb,81920,344064,262144
78,2e5-idx.duckdb,10485760,10502144,16384
79,1e5-idx.duckdb,5767168,5783552,16384
80,6e6-idx.duckdb,335544320,335560704,16384
81,6e6.duckdb,332660736,332677120,16384
82,2e6.duckdb,106430464,106446848,16384
83,5e5-idx.duckdb,25427968,25444352,16384
84,4e6.duckdb,219414528,219430912,16384
85,4e6-idx.duckdb,219414528,219430912,16384
86,1e6-idx.duckdb,50855936,50872320,16384
87,1e5-idx.duckdb,5783552,5849088,65536
90,2e5.duckdb,1048576,1064960,16384
91,1e5.duckdb,344064,1392640,1048576
92,2e5-idx.duckdb,10502144,10567680,65536
93,6e6-idx.duckdb,335560704,335626240,65536
95,1e6.duckdb,50855936,50872320,16384
96,2e6-idx.duckdb,107479040,107495424,16384
97,6e6.duckdb,332677120,332742656,65536
98,4e6.duckdb,219430912,219496448,65536
99,1e6-idx.duckdb,50872320,50937856,65536
100,4e6-idx.duckdb,219430912,219496448,65536
101,2e5.duckdb,1064960,1130496,65536
102,1e5-idx.duckdb,5849088,6111232,262144
103,2e6.duckdb,106446848,106512384,65536
104,5e5-idx.duckdb,25444352,25509888,65536
105,5e5.duckdb,1572864,1589248,16384
106,6e6.duckdb,332742656,332935168,192512
107,4e6.duckdb,219496448,219688960,192512
108,1e5.duckdb,1392640,5517312,4124672
109,1e5-idx.duckdb,16384,81920,65536
110,2e5.duckdb,1130496,1392640,262144
111,2e5-idx.duckdb,10567680,10829824,262144
112,2e6-idx.duckdb,107495424,107560960,65536
113,4e6-idx.duckdb,219496448,219758592,262144
114,2e6.duckdb,106512384,106704896,192512
115,6e6-idx.duckdb,335626240,335888384,262144
116,1e6-idx.duckdb,50937856,51200000,262144
117,5e5.duckdb,1589248,1654784,65536
118,5e5-idx.duckdb,25509888,25772032,262144
119,1e5-idx.duckdb,81920,344064,262144
120,1e6.duckdb,50872320,50937856,65536
121,2e5-idx.duckdb,10223616,10240000,16384
122,2e6-idx.duckdb,107560960,107823104,262144
123,4e6-idx.duckdb,218890240,218906624,16384
124,2e5.duckdb,16384,81920,65536
125,2e6.duckdb,106168320,106184704,16384
126,6e6-idx.duckdb,335020032,335036416,16384
127,5e5.duckdb,1654784,1916928,262144
128,2e5-idx.duckdb,10240000,10305536,65536
129,1e6-idx.duckdb,50593792,50610176,16384
131,2e5.duckdb,81920,344064,262144
132,4e6-idx.duckdb,218906624,218972160,65536
133,2e6-idx.duckdb,107216896,107233280,16384
134,4e6.duckdb,219152384,219168768,16384
135,1e5-idx.duckdb,344064,1392640,1048576
136,2e6.duckdb,106184704,106250240,65536
137,6e6.duckdb,332136448,332152832,16384
138,1e6.duckdb,50937856,51130368,192512
139,2e5-idx.duckdb,10305536,10567680,262144
140,1e6-idx.duckdb,50610176,50675712,65536
141,6e6-idx.duckdb,335036416,335101952,65536
142,4e6-idx.duckdb,218972160,219234304,262144
143,2e6-idx.duckdb,107233280,107298816,65536
144,2e5.duckdb,1572864,1589248,16384
145,4e6.duckdb,219168768,219234304,65536
146,5e5-idx.duckdb,25165824,25182208,16384
147,2e6.duckdb,106250240,106512384,262144
148,1e5-idx.duckdb,1392640,5586944,4194304
149,6e6.duckdb,332152832,332218368,65536
150,6e6-idx.duckdb,335101952,335364096,262144
151,1e6-idx.duckdb,50675712,50937856,262144
152,5e5-idx.duckdb,25182208,25247744,65536
153,2e6-idx.duckdb,107298816,107560960,262144
154,2e5.duckdb,1589248,1654784,65536
157,4e6.duckdb,219234304,219496448,262144
158,2e5.duckdb,1654784,1916928,262144
159,2e6.duckdb,1048576,1064960,16384
160,5e5.duckdb,16384,81920,65536
161,2e5-idx.duckdb,1048576,1064960,16384
162,6e6-idx.duckdb,335364096,336412672,1048576
163,6e6.duckdb,332218368,332480512,262144
166,5e5-idx.duckdb,25247744,25509888,262144
167,2e6.duckdb,1064960,1130496,65536
168,2e5.duckdb,524288,540672,16384
169,2e5-idx.duckdb,1064960,1130496,65536
170,6e6.duckdb,332480512,332935168,454656
171,1e6-idx.duckdb,1048576,1064960,16384
172,2e6-idx.duckdb,1310720,1327104,16384
174,2e6.duckdb,1130496,1392640,262144
176,4e6-idx.duckdb,219234304,220282880,1048576
177,1e6.duckdb,1310720,1327104,16384
178,5e5.duckdb,81920,344064,262144
179,2e5-idx.duckdb,1130496,1392640,262144
180,1e6-idx.duckdb,1064960,1130496,65536
182,2e5.duckdb,540672,606208,65536
183,2e6.duckdb,16384,81920,65536
184,5e5-idx.duckdb,1048576,1064960,16384
185,2e6-idx.duckdb,1327104,1392640,65536
187,1e6.duckdb,1327104,1392640,65536
188,5e5.duckdb,2097152,2113536,16384
189,4e6.duckdb,1048576,1064960,16384
190,1e6-idx.duckdb,1130496,1392640,262144
191,2e6.duckdb,81920,344064,262144
192,2e5-idx.duckdb,16384,81920,65536
193,2e6-idx.duckdb,1392640,1654784,262144
194,6e6.duckdb,1048576,1064960,16384
195,5e5-idx.duckdb,1064960,1130496,65536
196,2e5.duckdb,606208,868352,262144
197,1e5-idx.duckdb,5586944,7090176,1503232
198,5e5.duckdb,2113536,2179072,65536
199,4e6.duckdb,1064960,1130496,65536
200,1e6-idx.duckdb,16384,81920,65536
201,2e5-idx.duckdb,81920,344064,262144
202,5e5-idx.duckdb,1130496,1392640,262144
203,6e6.duckdb,1064960,1130496,65536
204,5e5.duckdb,2179072,2441216,262144
205,2e6-idx.duckdb,16384,81920,65536
206,4e6.duckdb,1130496,1392640,262144
207,1e6.duckdb,1392640,1654784,262144
208,1e6-idx.duckdb,81920,344064,262144
209,6e6.duckdb,1130496,1392640,262144
210,2e5-idx.duckdb,1572864,1589248,16384
211,2e6-idx.duckdb,81920,344064,262144
212,6e6.duckdb,16384,81920,65536
213,1e6.duckdb,16384,81920,65536
214,4e6.duckdb,16384,81920,65536
215,1e6-idx.duckdb,1572864,1589248,16384
216,2e5-idx.duckdb,1589248,1654784,65536
217,2e6-idx.duckdb,1654784,2703360,1048576
218,6e6.duckdb,81920,344064,262144
219,4e6.duckdb,81920,344064,262144
220,1e6.duckdb,81920,344064,262144
221,2e5.duckdb,868352,1916928,1048576
222,2e6.duckdb,1572864,1589248,16384
223,1e6-idx.duckdb,1589248,1654784,65536
224,2e5-idx.duckdb,1654784,1916928,262144
225,5e5-idx.duckdb,16384,81920,65536
226,4e6.duckdb,1572864,1589248,16384
227,1e6.duckdb,1654784,2703360,1048576
228,2e6.duckdb,1589248,1654784,65536
229,6e6.duckdb,1572864,1589248,16384
230,2e5.duckdb,1392640,2441216,1048576
231,2e5-idx.duckdb,524288,540672,16384
232,5e5-idx.duckdb,81920,344064,262144
233,4e6.duckdb,1589248,1654784,65536
234,1e6-idx.duckdb,1654784,1916928,262144
235,5e5.duckdb,524288,540672,16384
236,2e6.duckdb,1654784,1916928,262144
237,6e6.duckdb,1589248,1654784,65536
238,2e5-idx.duckdb,540672,606208,65536
239,4e6.duckdb,1654784,1916928,262144
241,5e5.duckdb,540672,606208,65536
242,2e5-idx.duckdb,606208,868352,262144
243,2e6.duckdb,524288,540672,16384
244,2e5.duckdb,2441216,6635520,4194304
245,4e6.duckdb,524288,540672,16384
246,6e6.duckdb,1654784,1916928,262144
248,4e6-idx.duckdb,1048576,1064960,16384
249,1e6.duckdb,524288,540672,16384
250,2e5-idx.duckdb,868352,1916928,1048576
251,2e6.duckdb,540672,606208,65536
252,4e6.duckdb,540672,606208,65536
253,5e5-idx.duckdb,1572864,1589248,16384
254,6e6-idx.duckdb,1048576,1064960,16384
255,5e5.duckdb,606208,868352,262144
256,2e6-idx.duckdb,524288,540672,16384
257,4e6-idx.duckdb,1064960,1130496,65536
258,2e6.duckdb,606208,868352,262144
259,1e6-idx.duckdb,524288,540672,16384
260,1e6.duckdb,540672,606208,65536
261,4e6.duckdb,606208,868352,262144
262,5e5-idx.duckdb,1589248,1654784,65536
