,name,start,end,size
47,1e5.duckdb,0,16384,16384
49,5e5.duckdb,0,16384,16384
53,2e6.duckdb,0,16384,16384
54,1e6-idx.duckdb,0,16384,16384
55,2e5.duckdb,0,16384,16384
57,1e5-idx.duckdb,0,16384,16384
58,2e6-idx.duckdb,0,16384,16384
59,4e6.duckdb,0,16384,16384
60,1e6.duckdb,0,16384,16384
62,5e5-idx.duckdb,0,16384,16384
64,2e5-idx.duckdb,0,16384,16384
65,6e6.duckdb,0,16384,16384
68,6e6-idx.duckdb,0,16384,16384
69,4e6-idx.duckdb,0,16384,16384
70,2e5.duckdb,10223616,10240000,16384
71,1e5.duckdb,16384,81920,65536
72,2e6.duckdb,106430464,106446848,16384
73,5e5.duckdb,25690112,25706496,16384
74,1e6-idx.duckdb,50855936,50872320,16384
75,4e6.duckdb,219414528,219430912,16384
76,1e6.duckdb,50855936,50872320,16384
77,6e6.duckdb,332660736,332677120,16384
78,2e6-idx.duckdb,107479040,107495424,16384
79,1e5.duckdb,81920,344064,262144
80,1e5-idx.duckdb,5767168,5783552,16384
81,2e5.duckdb,10240000,10305536,65536
82,4e6-idx.duckdb,219414528,219430912,16384
83,2e6.duckdb,106446848,106512384,65536
84,6e6-idx.duckdb,335544320,335560704,16384
85,1e6-idx.duckdb,50872320,50937856,65536
86,5e5-idx.duckdb,25427968,25444352,16384
87,4e6.duckdb,219430912,219496448,65536
88,5e5.duckdb,25706496,25772032,65536
89,2e5-idx.duckdb,10485760,10502144,16384
90,6e6.duckdb,332677120,332742656,65536
91,2e5.duckdb,10305536,10498048,192512
92,1e6.duckdb,50872320,50937856,65536
94,5e5.duckdb,25772032,25964544,192512
95,1e6-idx.duckdb,50937856,51200000,262144
96,6e6-idx.duckdb,335560704,335626240,65536
97,1e5.duckdb,4194304,4210688,16384
98,2e6-idx.duckdb,107495424,107560960,65536
99,2e6.duckdb,106512384,106704896,192512
100,6e6.duckdb,332742656,332935168,192512
