name,fetched,fetched_iec,size,size_iec,nrows,indexed,max,min,num
1e5.duckdb,6840320,6.8 MB,5517312,5.5 MB,100000,False,4124672,16384,9
1e5-idx.duckdb,7254016,7.3 MB,7090176,7.1 MB,100000,True,4194304,16384,12
2e5.duckdb,8630272,8.6 MB,10498048,10.5 MB,200000,False,4194304,16384,24
2e5-idx.duckdb,10092544,10.1 MB,12595200,12.6 MB,200000,True,4194304,16384,28
5e5.duckdb,7925760,7.9 MB,25964544,26.0 MB,500000,False,4194304,16384,26
5e5-idx.duckdb,10092544,10.1 MB,30158848,30.2 MB,500000,True,4194304,16384,28
1e6.duckdb,10022912,10.0 MB,51130368,51.1 MB,1000000,False,4194304,16384,28
1e6-idx.duckdb,11485184,11.5 MB,59518976,59.5 MB,1000000,True,4194304,16384,32
2e6.duckdb,30650368,30.7 MB,106704896,106.7 MB,2000000,False,16777216,16384,27
2e6-idx.duckdb,12189696,12.2 MB,124006400,124.0 MB,2000000,True,4194304,16384,30
4e6.duckdb,8974336,9.0 MB,219688960,219.7 MB,4000000,False,4194304,16384,27
4e6-idx.duckdb,12877824,12.9 MB,252456960,252.5 MB,4000000,True,4194304,16384,36
6e6.duckdb,9428992,9.4 MB,332935168,332.9 MB,6000000,False,4194304,16384,28
6e6-idx.duckdb,12533760,12.5 MB,384577536,384.6 MB,6000000,True,4194304,16384,33
